top - 12:33:32 up 31 min,  1 user,  load average: 0.41, 0.88, 0.73
Tasks: 335 total,   2 running, 333 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.1 us,  1.5 sy,  0.0 ni, 95.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15626.4 total,   8525.5 free,   3661.4 used,   4224.4 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.  11965.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     83 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     84 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftir+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     87 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     90 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     91 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     96 root      20   0       0      0      0 I   0.0   0.0   0:04.37 kworker+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.13 kcompac+
     99 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    100 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    104 root     -51   0       0      0      0 S   0.0   0.0   0:00.98 irq/9-a+
    105 root      20   0       0      0      0 I   0.0   0.0   0:00.31 kworker+
    107 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker+
    108 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker+
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    114 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    115 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker+
    118 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    119 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    123 root      20   0       0      0      0 S   0.0   0.0   0:00.04 hwrng
    124 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
    125 root      20   0       0      0      0 I   0.0   0.0   0:00.35 kworker+
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker+
    130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    131 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    136 root       0 -20       0      0      0 I   0.0   0.0   0:07.31 kworker+
    148 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    149 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker+
    173 root       0 -20       0      0      0 I   0.0   0.0   0:00.17 kworker+
    177 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.12 kworker+
    194 root      20   0       0      0      0 I   0.0   0.0   0:00.29 kworker+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.35 kworker+
    198 root       0 -20       0      0      0 I   0.0   0.0   0:00.21 kworker+
    200 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
    202 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    240 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    242 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    247 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
    248 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    250 root     -51   0       0      0      0 S   0.0   0.0   0:06.88 irq/144+
    293 root      20   0       0      0      0 S   0.0   0.0   0:00.57 jbd2/nv+
    294 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    346 root      19  -1   67712  19984  18236 S   0.0   0.1   0:01.42 systemd+
    394 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    408 root      20   0   30852   8748   4928 S   0.0   0.1   0:00.23 systemd+
    455 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    479 root      20   0       0      0      0 I   0.0   0.0   0:03.40 kworker+
    509 root      20   0       0      0      0 I   0.0   0.0   0:00.28 kworker+
    595 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    613 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/159+
    621 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/16-+
    623 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    644 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    645 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    646 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_open+
    651 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    654 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
    655 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
    660 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/160+
    661 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia
    662 root      20   0       0      0      0 S   0.0   0.0   0:00.01 nv_queue
    663 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    664 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    665 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    666 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    681 root      20   0       0      0      0 S   0.0   0.0   0:03.28 napi/ph+
    682 root      20   0       0      0      0 S   0.0   0.0   0:00.18 napi/ph+
    683 root      20   0       0      0      0 S   0.0   0.0   0:02.47 napi/ph+
    782 systemd+  20   0   17572   7636   6720 S   0.0   0.0   0:00.95 systemd+
    799 systemd+  20   0   21848  13528  10940 S   0.0   0.1   0:00.61 systemd+
    828 systemd+  20   0   91060   7896   6912 S   0.0   0.0   0:00.06 systemd+
    878 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    881 root      20   0    2728   1872   1736 S   0.0   0.0   0:00.48 acpid
    883 avahi     20   0    8676   4600   4116 S   0.0   0.0   0:00.07 avahi-d+
    884 root      20   0   13564   6800   6084 S   0.0   0.0   0:00.04 bluetoo+
    885 message+  20   0   12640   7892   4628 S   0.0   0.0   0:01.62 dbus-da+
    888 gnome-r+  20   0  439088  16576  14052 S   0.0   0.1   0:00.02 gnome-r+
    895 root      20   0   34884  21392  10444 S   0.0   0.1   0:00.08 network+
    902 polkitd   20   0  390988  12436   8200 S   0.0   0.1   0:00.65 polkitd
    903 root      20   0  313636   8128   7184 S   0.0   0.1   0:00.04 power-p+
    914 root      20   0 2588344  39832  23880 S   0.0   0.2   0:01.90 snapd
    923 root      20   0  314040   8476   7408 S   0.0   0.1   0:00.31 account+
    926 root      20   0    9432   2872   2624 S   0.0   0.0   0:00.01 cron
    933 root      20   0  309868   6964   6240 S   0.0   0.0   0:00.06 switche+
    935 root      20   0   18164   9292   7996 S   0.0   0.1   0:00.27 systemd+
    936 root      20   0  424884  11332  10308 S   0.0   0.1   0:00.20 thermald
    938 root      20   0  469684  14328  11396 S   0.0   0.1   0:00.21 udisksd
    999 avahi     20   0    8488   1536   1164 S   0.0   0.0   0:00.00 avahi-d+
   1000 root      20   0  337372  20696  16604 S   0.0   0.1   0:00.61 Network+
   1013 www-data  20   0  286840  42124  24896 S   0.0   0.3   0:00.46 mono
   1021 root      20   0   18288  11708  10016 S   0.0   0.1   0:00.42 wpa_sup+
   1024 syslog    20   0  222572   6264   4496 S   0.0   0.0   0:00.39 rsyslogd
   1202 root      20   0  392104  12816  10728 S   0.0   0.1   0:00.05 ModemMa+
   1601 root      -2   0       0      0      0 S   0.0   0.0   0:01.64 mt76-tx+
   1614 root      20   0   38488  12416  10044 S   0.0   0.1   0:00.02 cupsd
   1630 root      20   0  112268  22928  13464 S   0.0   0.1   0:00.06 unatten+
   1647 root      20   0 2246188  47380  32760 S   0.0   0.3   0:03.10 contain+
   1664 colord    20   0  320220  14704   9880 S   0.0   0.1   0:00.10 colord
   1899 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM glo+
   1900 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM def+
   1901 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM Too+
   1905 root      20   0  314812   9344   8200 S   0.0   0.1   0:00.05 gdm3
   1907 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1908 nvidia-+  20   0    3336   2152   1976 S   0.0   0.0   0:00.00 nvidia-+
   1917 root      20   0   12032   8096   6960 S   0.0   0.1   0:00.00 sshd
   1920 root      20   0  209476  20388  15040 S   0.0   0.1   0:00.15 apache2
   1922 www-data  20   0  210276  10432   5004 S   0.0   0.1   0:00.00 apache2
   1923 www-data  20   0  210276  10428   5000 S   0.0   0.1   0:00.00 apache2
   1924 www-data  20   0  210276  10432   5004 S   0.0   0.1   0:00.00 apache2
   1925 www-data  20   0  210276  10432   5004 S   0.0   0.1   0:00.00 apache2
   1926 www-data  20   0  210276  10432   5004 S   0.0   0.1   0:00.00 apache2
   1938 root     -51   0       0      0      0 S   0.0   0.0   0:00.20 irq/163+
   2164 rtkit     21   1   22948   3528   3228 S   0.0   0.0   0:00.05 rtkit-d+
   2193 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   2439 root      20   0  318924  11404   7620 S   0.0   0.1   0:00.41 upowerd
   2726 root      20   0 1262668  38028  21788 S   0.0   0.2   0:12.30 cloudfl+
   2727 cups-br+  20   0  268540  20044  16864 S   0.0   0.1   0:00.05 cups-br+
